#,State,ratio,child ratio,ratio,child ratio
-,India,943,919,933,927
1,Kerala,1084,964,1058,960
2,Puducherry,1037,967,1001,967
3,Tamil Nadu,996,943,987,942
4,Andhra Pradesh,993,939,978,961
5,Chhattisgarh,991,969,989,975
6,Meghalaya,989,970,972,973
7,Manipur,985,930,974,957
8,Orissa,979,941,972,953
9,Mizoram,976,970,935,964
10,Goa,973,942,961,938
11,Karnataka,973,948,965,946
12,Himachal Pradesh,972,909,968,896
13,Uttarakhand,963,890,962,908
14,Tripura,960,957,948,966
15,Assam,958,962,935,965
16,West Bengal,950,956,934,960
17,Jharkhand,948,948,941,965
18,Lakshadweep,946,911,948,959
19,Arunachal Pradesh,938,972,893,964
20,Nagaland,931,943,900,964
21,Madhya Pradesh,931,918,919,932
22,Maharashtra,929,894,922,913
23,Rajasthan,928,888,921,909
24,Gujarat,919,890,920,883
25,Bihar,918,935,919,942
26,Uttar Pradesh,912,902,898,916
27,Punjab,895,846,876,798
28,Sikkim,890,957,875,963
29,Jammu and Kashmir,889,862,892,941
30,Haryana,879,834,861,819
31,Andaman and Nicobar Islands,876,968,846,957
32,Delhi,868,871,821,868
33,Chandigarh,818,880,777,845
34,Dadra and Nagar Haveli,774,926,812,979
35,Daman and Diu,618,904,710,926
